Allegato,Parte,Punto,Requisito,Metodo per implementarlo,Nello specifico
1,1,1,"I prodotti devono essere progettati, sviluppati e prodotti in modo da garantire un livello adeguato di cibersicurezza in base ai rischi","- Analizzare (se possibile) il ciclo di sviluppo del prodotto (Secure Software Development Lifecycle)
- Verificare la presenza di analisi dei rischi (con tabella rischio = impatto * probabilità)
- Controllare se sono previsti/effettuati test di sicurezza di vario genere",
1,1,2a,I prodotti sono messi a disposizione senza vulnerabilità sfruttabili note,"- Controllare che le tecnologie utilizzate non presentino vulnerabilità note (effettuare un confronto con un database contenente queste vulnerabilità, il quale viene tenuto aggiornato)
- Controllare che la documentazione presenti certificazioni e/o risultati di test effettuati","1. Richiedere al produttore il file SBOM
2. Verificare che elenchi tutti i componenti (librerie, moduli, sistema operativo) con relativa versione e licenza
3. Usare uno strumento di vulnerability scanning che controlla, per ogni componente della SBOM, se la sua versione ha delle criticità (il confronto viene effettuato con il database NVD o un generico database CVE)
4. Riportare l'indice CVSS (Common Vulnerability Scoring System) per ogni componente confrontato, andando ad evidenziare quelli più critici
5. Controllare se sono state rilasciate patch per il componente in questione
6. Controllare quali ambiti coprono i test effettuati dal produttore e di quali certificazioni dispone il prodotto in questione, anche in merito alle eventuali vulnerabilità trovate al punto 3 e 4"
1,1,2b,I prodotti sono messi a disposizione con configurazione sicura in modo predefinito e con la possibilità di effettuare il ripristino,"- Analizzare le impostazioni di default (ad esempio: password robuste, porte chiuse, aggiornamenti automatici attivati)
- Verificare se c'è la possibilità di effettuare il reset ai dati di fabbrica
- Controllare che i servizi non necessari siano disabilitati (di default)","1. Utilizzare uno script o un tool (ad esempio ho trovato Selenium per il test automatico) che consenta di testare la complessità della password, inviando password ed analizzando la risposta
2. Controllare nella documentazione ufficiale se viene menzionata la parola ""password"", in modo da poter ottenere ulteriori informazioni in merito (lunghezza, caratteri speciali, ...)
3. Eseguire una scansione delle porte TCP/UDP esposte dal prodotto all'avvio, ad esempio con il tool nmap o simili
4. Controllare nella documentazione ufficiale se vengono menzionate parole riguardanti l'argomento porte, in modo da poter ottenere ulteriori informazioni in merito (quali porte sono esposte, quali servizi sono previsti, ...)
5. Intercettare le richieste HTTP/HTTPS che vengono effettuate, usando sniffer di rete come wireshark, con lo scopo di trovare chiamate a server di aggiornamento automatico (quindi qualcosa in stile polling).
6. Nuovamente, controllare la documentazione ufficiale e verificare se viene menzionato l'argomento ""aggiornamenti automatici"", in modo da poter ottenere ulteriori informazioni in merito (frequenza del controllo aggiornamenti, ...)
7. Controllare la documentazione ufficiale e verificare se viene menzionato l'argomento ""reset ai dati di fabbrica"", in modo da poter ottenere ulteriori informazioni in merito (come effettuarlo, ...)
8. Per quanto riguarda la verifica dei servizi non necessari disabilitati, oltre a controllare la documentazione come nei punti precedenti, si potrebbe (nel caso in cui il dispositivo sia online / disponga di una cli) vedere cosa è in ascolto sulla rete (usando ad esempio nmap/netstat come prima, oppure ps/top se è possibile usare la cli). In base ai risultati, classificarli come necessari o non necessari (non sono molto sicuro di questa tecnica, ma non saprei come altro fare)."
1,1,2c,Garantire la gestione delle vulnerabilità tramite aggiornamenti di sicurezza (preferibilmente automatici) con possibilità di disattivarli e notificarli,"- Verificare se è prevista la possibilità di effettuare gli aggiornamenti in modo automatico
- Controllare se è possibile disattivare gli aggiornamenti automatici (se si, con che facilità)
- Verificare in che modo gli aggiornamenti vengono notificati all'utente (notifiche push, notifiche che impediscono l'utilizzo del dispositivo, ...)","1. Intercettare le richieste HTTP/HTTPS effettuate automaticamente dal dispositivo, usando uno sniffer di rete (es. Wireshark, tcpdump,...) per verificare se il dispositivo contatta server di aggiornamento subito dopo l’avvio (come descritto prima). 
2. Controllare nella documentazione ufficiale se viene menzionato l’argomento ""aggiornamenti automatici"", così da poter capire se gli aggiornamenti automatici sono abilitati di default e con quale frequenza viene effettuato il controllo. 
3. Utilizzare strumenti come Selenium, curl, ... per poter effettuare test mediante (ad esempio) uno script che accede al pannello di configurazione, per poi cercare un'opzione/flag per disattivare gli aggiornamenti automatici. 
4. Valutarne la complessità. In alternativa, analizzare la documentazione ufficiale e cercare termini come ""disattiva aggiornamenti, per capire se e come è prevista la disattivazione da parte dell'utente. 
5. Cercare nella documentazione ufficiale se e come viene notificato un aggiornamento all’utente, ad esempio tramite messaggi sullo schermo, popup, notifiche push, oppure se il dispositivo impedisce l'uso fino all’aggiornamento."
1,1,2d,Garantire la protezione dall’accesso non autorizzato tramite adeguati controlli di login e in che modo viene verificata l'identità dell'utente,"- Verificare in che modo viene implementata l'autenticazione (es. password che devono essere complesse, MFA, ...)
- Controllare sistemi di gestione degli accessi e logging accessi non autorizzati.
- Analizzare policy di gestione account e privilegi.p.","1. Verificare in che modo viene implementata l’autenticazione: se è disponibile un’interfaccia web o CLI, utilizzare uno script (ad esempio Selenium o expect, come descritto prima) che invia tentativi di login con credenziali errate o deboli. Osservare quindi se il sistema impone vincoli di sicurezza (es. lunghezza minima della password, caratteri speciali, ...). Analizzare la documentazione ufficiale cercando frasi come ""password complexity"" o ""MFA""/""autenticazione a due fattori"", per capire se sono previsti meccanismi di autenticazione avanzati.
2. Analizzare la documentazione ufficiale per individuare la presenza di un sistema di gestione degli accessi. Verificare se sono previsti account con permessi differenti, come ad esempio utenti normali e amministratori. Controllare inoltre se viene registrata l’attività di login, cercando parole chiave come ""access/security logs"" o ""login audit"". Se questi log sono accessibili, si può simulare un tentativo di accesso errato per vedere se l’evento viene registrato nei log o segnalato in qualche modo.
3. Simulare un attacco brute-force per verificare se il sistema applica contromisure, eseguendo tentativi di login errati con lo stesso account tramite strumenti di testing descritti sopra. Osservare se il sistema reagisce bloccando temporaneamente l’account, introducendo un ritardo crescente tra i tentativi o generando un log di qualche tipo.
4. Verificare se vengono specificate regole come il numero massimo di tentativi di login falliti prima del blocco, il timeout automatico della sessione dopo inattività e l’obbligo di cambiare le credenziali periodicamente. Si potrebbe confrontare i valori dichiarati con quelli raccomandati da standard noti, ad esempio NIST.
5. Consultare la documentazione o testare direttamente il comportamento del sistema per capire se esistono ruoli distinti e se l’accesso a funzionalità critiche è riservato solo agli utenti autorizzati. Se disponibile un’interfaccia, provare ad accedere con un utente non privilegiato e verificare se le funzioni amministrative sono nascoste o inaccessibili (come faccio ad automatizzare questo?)"
1,1,2e,Prevedere riservatezza dei dati conservati/inviati/trattati tramite la crittografia (o altri mezzi tecnici),"- Verificare la presenza di crittografia dei dati conservati e in transito (ad esempio criptandoli con AES e inviandoli con TLS)
- Controllare se vengono utilizzati protocolli sicuri per le comunicazioni
- Controllare come avviene la gestione delle chiavi di cifratura.","1. Catturare il traffico di rete generato dal dispositivo durante il funzionamento utilizzando strumenti come Wireshark o tcpdump.
2. Analizzare i pacchetti per verificare che i dati sensibili non siano trasmessi in chiaro, identificando i protocolli usati e controllando che non siano non cifrati (es HTTP invece di HTTPS, ...). Successivamente esaminare i certificati TLS per versione e validità della cifratura.
3. Eseguire una scansione automatizzata verso le porte di rete del dispositivo usando strumenti come nmap con lo script ssl-enum-ciphers per raccogliere informazioni sulle versioni TLS supportate, le cipher suite disponibili e la configurazione di sicurezza, confrontando i risultati con best practice di sicurezza.
4. Estrarre informazioni sulla crittografia tramite API, interfacce web o endpoint accessibili, interrogando le risorse disponibili per rilevare configurazioni o report che indicano se i dati sono protetti da cifratura e quali algoritmi sono utilizzati. Analizzare le risposte (ma anche la documentazione) cercando parole chiave come “encryption”, “AES”, ... e valutare la presenza e il tipo di cifratura.
5. Interrogare le API o interfacce di gestione chiavi esposte dal dispositivo per verificare come avviene la conservazione e la protezione delle chiavi di cifratura, controllando se sono previste politiche di rotazione, backup sicuro e restrizioni di accesso.
6. Integrare un proxy Man-in-the-Middle (ad esempio mitmproxy o Burp Suite) che intercetti il traffico cifrato: questo verificherà che la connessione TLS fallisca in presenza di corretta validazione certificati."
1,1,2f,"Prevedere integrità dei dati, dei programmi e delle configurazioni da manipolazioni e modifiche non autorizzate, segnalando le corruzioni","- Verificare l’uso della firma digitale per i dati sensibili.
- Utilizzare il log per tracciare tutte le modifiche che vengono effettuate (e da chi)
- Utilizzare funzioni di hashing per effettuare check sull'integrità dei dati (specialmente quelli trasportati)",
1,1,2g,"Trattare solo dati adeguati, pertinenti e limitati a quanto necessario (minimizzazione dei dati).","- Verificare che i dati raccolti siano limitati alla funzionalità del prodotto (principio del privilegio minimo), cosi anche come i privilegi che vengono assegnati alle varie parti del software
- E' presente documentazione della gestione dati?",
1,1,2h,"Proteggere la disponibilità delle funzioni essenziali dopo un incidente, anche contro attacchi DoS","- Verificare se sono presenti accorgimenti/sistemi per limitare attacchi DoS/DDoS, come i Captcha oppure metodi di rate limiting
- Verificare se ci sono piani di resilienza (come server ridondanti) oppure piani di disaster recovery (per ripristinare la situazione iniziale dopo eventuali attacchi/emergenze)","1. Interrogare le API o l’interfaccia web per rilevare la presenza di sistemi anti DoS/DDoS, verificando nei metadati delle risorse critiche (login, API di scrittura, form) l’attivazione di CAPTCHA o flag di rate limiting.
2. Inviare un numero elevato di richieste sequenziali agli endpoint critici e analizzare le risposte HTTP. In caso di risposta Too Many Requests o errori di blocco temporaneo, è confermata l’efficacia del rate limiting.
3. Interrogare le API di backup, se presenti, per ottenere informazioni in merito a backup e recovery plan."
1,1,2i,Ridurre al minimo l’impatto (negativo) che potrebbe avere il prodotto in questione sulla disponibilità dei servizi di altri dispositivi o reti ,"- Verificare in che modo il prodotto consuma risorse, sia in condizioni normali che in caso di errori
- Controllare che il dispositivo non generi traffico di rete anomalo",
